epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.2431,1.05791,0.80627,1,0.51971,0.000413105,0.000413105,0.000413105
2,90.0429,0.62057,0.83191,1,0.44187,0.00080239,0.00080239,0.00080239
3,132.926,0.53052,0.87322,1,0.39478,0.00116417,0.00116417,0.00116417
4,175.743,0.48906,0.91453,1,0.23975,0.00112625,0.00112625,0.00112625
5,218.214,0.38703,0.90456,1,0.25263,0.001085,0.001085,0.001085
6,260.907,0.34793,0.95299,1,0.13742,0.00104375,0.00104375,0.00104375
7,303.69,0.29879,0.93875,1,0.15808,0.0010025,0.0010025,0.0010025
8,346.284,0.32215,0.9416,1,0.14266,0.00096125,0.00096125,0.00096125
9,388.933,0.28467,0.95584,1,0.11809,0.00092,0.00092,0.00092
10,433.582,0.26778,0.96296,1,0.12109,0.00087875,0.00087875,0.00087875
11,478.872,0.21211,0.97863,1,0.09022,0.0008375,0.0008375,0.0008375
12,524.988,0.21278,0.98575,1,0.05395,0.00079625,0.00079625,0.00079625
13,570.388,0.19369,0.98433,1,0.04653,0.000755,0.000755,0.000755
14,614.818,0.18251,0.97863,1,0.05991,0.00071375,0.00071375,0.00071375
15,659.244,0.17538,0.98575,1,0.04942,0.0006725,0.0006725,0.0006725
16,703.344,0.15535,0.98575,1,0.05026,0.00063125,0.00063125,0.00063125
17,748.139,0.15763,0.99003,1,0.03754,0.00059,0.00059,0.00059
18,792.481,0.11951,0.98718,1,0.04795,0.00054875,0.00054875,0.00054875
19,836.678,0.11478,0.99145,1,0.03399,0.0005075,0.0005075,0.0005075
20,880.921,0.12139,0.99003,1,0.03783,0.00046625,0.00046625,0.00046625
21,925.8,0.11492,0.98718,1,0.05246,0.000425,0.000425,0.000425
22,970.652,0.12854,0.99003,1,0.04916,0.00038375,0.00038375,0.00038375
23,1015.92,0.09312,0.98718,1,0.04422,0.0003425,0.0003425,0.0003425
24,1061.17,0.08579,0.99003,1,0.03257,0.00030125,0.00030125,0.00030125
25,1106.55,0.0879,0.99003,1,0.03727,0.00026,0.00026,0.00026
26,1151.77,0.09796,0.9886,1,0.03639,0.00021875,0.00021875,0.00021875
27,1197.1,0.07453,0.99003,1,0.03456,0.0001775,0.0001775,0.0001775
28,1242.44,0.08075,0.98718,1,0.0404,0.00013625,0.00013625,0.00013625
29,1287.68,0.07511,0.99003,1,0.03241,9.5e-05,9.5e-05,9.5e-05
30,1332.97,0.08618,0.99003,1,0.03141,5.375e-05,5.375e-05,5.375e-05
